Dimension,CPU Time (s),GPU Time (s),PyTorch Time (s)
2,0.00010995063930749894,0.09325304222293199,0.023997997958213092
4,6.146724335849285e-05,0.0008877462707459927,9.849756024777889e-05
8,6.337510421872139e-05,0.0008042668923735619,9.724204428493977e-05
16,7.813037373125554e-05,0.0008613975718617439,9.89935826510191e-05
32,8.998643606901169e-05,0.0008403755258768797,9.998348541557789e-05
64,0.00013361666351556777,0.0008360411040484906,0.00010748575441539287
128,0.00020606094039976597,0.0007896446157246828,0.000107534509152174
256,0.00037634638138115404,0.0013366527389734983,0.00011046836152672768
512,0.0006654157768934965,0.0013988751452416182,0.00011539948172867298
1024,0.0015835727099329233,0.0014822709374129773,0.00014497172087430955
2048,0.003338252753019333,0.0014762475620955229,0.00020951195620000362
4096,0.006996216811239719,0.0012732757721096277,0.0002216271124780178
8192,0.012968132784590126,0.0020375771448016165,0.00027135633863508703
16384,0.04045659718103707,0.003267685975879431,0.00044425763189792633
32768,0.08047161852009595,0.00589150139130652,0.0007814999669790268
